R_FID,center_x,center_y,s_length,humidity
85,104.220324,30.544684,1000,82.75
86,104.220324,30.904012,1000,92.77
87,104.230731,30.347054,1000,94.01
88,104.230731,30.374004,1000,92.68
89,104.230731,30.616549,1000,88.96
90,104.230731,30.724348,1000,87.86
91,104.24114,30.41892,1000,89.02
92,104.24114,30.445869,1000,88.8
93,104.24114,30.607566,1000,89.08
94,104.24114,30.634515,1000,90.75
95,104.24114,30.643499,1000,91.24
96,104.24114,30.769264,1000,89.26
97,104.24114,30.877062,1000,88.86
98,104.355629,30.347054,1000,87.26
99,104.355629,30.400953,1000,85.8
100,104.355629,30.436886,1000,89.96
101,104.355629,30.490785,1000,92.26
102,104.355629,30.535701,1000,92.62
103,104.355629,30.553667,1000,92.59
104,104.355629,30.607566,1000,92.01
105,104.355629,30.661465,1000,93.98
106,104.355629,30.679432,1000,93.67
107,104.355629,30.742314,1000,88.28
108,104.355629,30.823163,1000,95.16
109,104.355629,30.841129,1000,93.21
110,104.355629,30.886046,1000,92.02
111,104.355629,30.912995,1000,92.28
112,104.355629,30.948929,1000,91.69
113,104.366037,30.338071,1000,88.05
114,104.313996,30.78723,1000,92.67
115,104.313996,30.859096,1000,88.53
116,104.324403,30.374004,1000,86.48
117,104.324403,30.382987,1000,85.89
118,104.324403,30.535701,1000,92.01
119,104.324403,30.544684,1000,92.06
120,104.324403,30.625532,1000,92.87
121,104.324403,30.643499,1000,94.13
122,104.324403,30.751297,1000,88.3
123,104.324403,30.850113,1000,90.02
124,104.324403,30.859096,1000,89.46
125,104.324403,30.939945,1000,90.45
126,104.334812,30.356037,1000,87.74
127,104.334812,30.382987,1000,85.5
128,104.334812,30.427903,1000,87.66
129,104.334812,30.517734,1000,92.29
130,104.334812,30.571633,1000,91.46
131,104.334812,30.652482,1000,94.43
132,104.334812,30.769264,1000,91.23
133,104.334812,30.778247,1000,92.99
134,104.334812,30.78723,1000,94.08
135,104.334812,30.823163,1000,94
136,104.334812,30.921979,1000,90.93
137,104.334812,30.957912,1000,90.67
138,104.345221,30.436886,1000,89.82
139,104.345221,30.643499,1000,93.53
140,104.345221,30.886046,1000,91.26
141,104.345221,30.912995,1000,91.53
142,104.345221,30.957912,1000,91
143,103.835227,30.356037,1000,81.02
144,103.835227,30.374004,1000,82.9
145,103.835227,30.400953,1000,84.42
146,103.835227,30.445869,1000,88.68
147,103.835227,30.490785,1000,93.22
148,103.835227,30.499768,1000,93.69
149,103.835227,30.634515,1000,93.95
150,103.835227,30.643499,1000,92.84
151,103.835227,30.652482,1000,91.74
152,103.835227,30.832146,1000,97.26
153,103.835227,30.930962,1000,96.54
154,103.845634,30.463835,1000,90.85
155,103.845634,30.553667,1000,92.82
156,103.845634,30.652482,1000,91.12
157,103.845634,30.697398,1000,88.32
158,103.845634,30.715364,1000,88.72
159,103.845634,30.957912,1000,94.71
160,103.856043,30.463835,1000,91.12
161,103.856043,30.526717,1000,92.1
162,103.856043,30.56265,1000,91.66
163,103.856043,30.706381,1000,88.12
164,103.856043,30.904012,1000,97.19
165,103.866451,30.517734,1000,91.35
166,103.866451,30.796213,1000,92.16
167,103.866451,30.895029,1000,96.94
168,103.866451,30.948929,1000,94.3
169,103.876859,30.365021,1000,83.25
170,103.876859,30.400953,1000,84.46
171,103.876859,30.463835,1000,90.88
172,103.876859,30.490785,1000,92.77
173,103.876859,30.535701,1000,89.58
174,103.876859,30.553667,1000,88.24
175,103.876859,30.5896,1000,90.62
176,103.783187,30.679432,1000,94.5
177,103.783187,30.724348,1000,94.2
178,103.783187,30.76028,1000,90.84
179,103.783187,30.886046,1000,99.01
180,103.783187,30.895029,1000,98.76
181,103.793595,30.374004,1000,76.93
182,103.793595,30.409936,1000,86.03
183,103.793595,30.445869,1000,89.1
184,103.793595,30.481802,1000,91.92
185,103.793595,30.56265,1000,97.21
186,103.793595,30.715364,1000,94.1
187,103.793595,30.742314,1000,91.47
188,103.793595,30.769264,1000,91.8
189,103.793595,30.78723,1000,94.43
190,103.793595,30.841129,1000,99.03
191,103.793595,30.895029,1000,98.61
192,103.793595,30.957912,1000,95.66
193,103.804003,30.427903,1000,88.38
194,103.804003,30.472818,1000,91.21
195,103.804003,30.499768,1000,93.63
196,103.804003,30.508751,1000,94.26
197,103.804003,30.643499,1000,93.59
198,103.804003,30.805196,1000,95.77
199,103.804003,30.868079,1000,98.78
200,103.804003,30.921979,1000,97.25
201,103.804003,30.939945,1000,96.32
202,103.804003,30.948929,1000,95.84
203,103.814411,30.616549,1000,94.87
204,103.814411,30.679432,1000,91.44
205,103.814411,30.796213,1000,94.1
206,103.814411,30.912995,1000,97.59
207,103.824818,30.670448,1000,90.55
208,104.147468,30.365021,1000,94.01
209,104.147468,30.39197,1000,93.42
210,104.147468,30.400953,1000,93.4
211,104.147468,30.427903,1000,92.09
212,104.147468,30.445869,1000,91.13
213,104.147468,30.544684,1000,84.13
214,104.147468,30.5896,1000,85.73
215,104.147468,30.78723,1000,90.53
216,104.147468,30.796213,1000,90.53
217,104.157875,30.733331,1000,90.04
218,104.157875,30.877062,1000,96.22
219,104.157875,30.921979,1000,95.54
220,104.168284,30.454852,1000,90.51
221,104.168284,30.463835,1000,89.69
222,104.168284,30.481802,1000,87.85
223,104.168284,30.508751,1000,84.61
224,104.168284,30.553667,1000,84.08
225,104.168284,30.661465,1000,84.11
226,104.168284,30.930962,1000,95.52
227,104.178692,30.347054,1000,95.67
228,104.178692,30.356037,1000,95.67
229,104.178692,30.382987,1000,94.34
230,104.178692,30.39197,1000,94
231,104.178692,30.454852,1000,90.36
232,104.178692,30.490785,1000,86.72
233,104.178692,30.499768,1000,85.6
234,104.178692,30.508751,1000,84.48
235,104.178692,30.526717,1000,83.27
236,104.438893,30.930962,1000,97.57
237,104.438893,30.939945,1000,97.36
238,104.438893,30.948929,1000,96.9
239,104.4493,30.347054,1000,91.24
240,104.4493,30.454852,1000,89.54
241,104.4493,30.535701,1000,89.32
242,104.4493,30.742314,1000,93.91
243,104.4493,30.832146,1000,90.79
244,104.4493,30.859096,1000,91.9
245,104.251548,30.338071,1000,93.3
246,104.251548,30.598583,1000,88.52
247,104.251548,30.733331,1000,87.14
248,104.261956,30.616549,1000,91.72
249,104.261956,30.679432,1000,91.47
250,104.261956,30.724348,1000,86.17
251,104.261956,30.868079,1000,87.32
252,104.272364,30.427903,1000,87.3
253,104.272364,30.436886,1000,87.9
254,104.272364,30.5896,1000,88.32
255,104.272364,30.634515,1000,93.63
256,104.272364,30.688415,1000,90.36
257,104.272364,30.877062,1000,87.16
258,104.282772,30.382987,1000,87.93
259,104.282772,30.400953,1000,86.94
260,104.282772,30.580616,1000,87.96
261,104.282772,30.5896,1000,89.06
262,104.282772,30.832146,1000,88.53
263,104.282772,30.886046,1000,87.25
264,104.282772,30.895029,1000,87.59
265,104.282772,30.957912,1000,90.75
266,104.29318,30.571633,1000,88.62
267,104.29318,30.634515,1000,93.92
268,104.29318,30.715364,1000,87.65
269,104.29318,30.742314,1000,86.77
270,104.29318,30.769264,1000,90.18
271,104.29318,30.877062,1000,87.64
272,104.303587,30.338071,1000,90.01
273,104.303587,30.382987,1000,86.8
274,104.303587,30.436886,1000,87.56
275,104.303587,30.607566,1000,92.17
276,104.303587,30.751297,1000,88.02
277,104.303587,30.796213,1000,92.01
278,104.303587,30.832146,1000,90.31
279,104.303587,30.877062,1000,88.03
280,104.303587,30.886046,1000,88.03
281,104.303587,30.930962,1000,89.97
282,104.313996,30.427903,1000,86.04
283,104.313996,30.481802,1000,91.58
284,104.313996,30.499768,1000,91.69
285,104.313996,30.697398,1000,91.06
286,104.313996,30.715364,1000,88.97
287,103.960123,30.472818,1000,85.46
288,103.960123,30.481802,1000,85.45
289,103.960123,30.56265,1000,84.95
290,103.960123,30.625532,1000,84.21
291,103.960123,30.688415,1000,84.01
292,103.960123,30.76028,1000,88.74
293,103.960123,30.805196,1000,92.77
294,103.960123,30.81418,1000,93.69
295,103.970531,30.400953,1000,83.82
296,103.970531,30.436886,1000,83.65
297,103.970531,30.517734,1000,85.38
298,103.970531,30.634515,1000,83.93
299,103.970531,30.661465,1000,83.36
300,103.970531,30.850113,1000,97.2
301,103.980939,30.526717,1000,85.26
302,103.980939,30.553667,1000,85.04
303,103.980939,30.948929,1000,87.88
304,103.991346,30.400953,1000,83.2
305,103.991346,30.445869,1000,82.37
306,103.991346,30.472818,1000,82.22
307,103.991346,30.508751,1000,83.71
308,103.991346,30.625532,1000,83.29
309,103.991346,30.679432,1000,83.29
310,103.991346,30.81418,1000,94.85
311,103.991346,30.832146,1000,96.54
312,104.001755,30.409936,1000,82.97
313,104.001755,30.454852,1000,81.23
314,104.001755,30.634515,1000,83.18
315,104.001755,30.679432,1000,83.39
316,104.001755,30.939945,1000,88.22
317,104.012162,30.427903,1000,82.25
318,104.012162,30.544684,1000,84.25
319,104.012162,30.679432,1000,83.33
320,104.012162,30.76028,1000,89.03
321,104.012162,30.948929,1000,88.82
322,104.012162,30.957912,1000,89.34
323,104.022571,30.365021,1000,83.29
324,104.022571,30.490785,1000,80.42
325,104.022571,30.643499,1000,83.46
326,104.022571,30.78723,1000,92.52
327,104.032979,30.356037,1000,84.12
328,104.032979,30.382987,1000,83.02
329,104.032979,30.481802,1000,79.66
330,104.032979,30.778247,1000,91
331,104.032979,30.832146,1000,96.55
332,104.032979,30.868079,1000,96.32
333,104.032979,30.930962,1000,90.22
334,104.126652,30.338071,1000,93.77
335,104.126652,30.463835,1000,88.16
336,104.126652,30.598583,1000,84.34
337,104.126652,30.616549,1000,82.32
338,104.126652,30.634515,1000,81.4
339,104.126652,30.688415,1000,85.77
340,104.126652,30.868079,1000,97.85
341,104.126652,30.895029,1000,97.18
342,104.137059,30.400953,1000,92.71
343,104.137059,30.508751,1000,84.8
344,104.137059,30.526717,1000,84.34
345,104.137059,30.580616,1000,85.97
346,104.137059,30.5896,1000,85.5
347,104.137059,30.616549,1000,82.61
348,103.731147,30.454852,1000,89.35
349,103.731147,30.526717,1000,95.17
350,103.731147,30.535701,1000,95.17
351,103.731147,30.553667,1000,95.81
352,103.731147,30.56265,1000,95.73
353,103.731147,30.580616,1000,93.69
354,103.731147,30.625532,1000,92.76
355,103.731147,30.679432,1000,96.69
356,103.731147,30.715364,1000,97.17
357,103.731147,30.805196,1000,96.23
358,103.731147,30.823163,1000,97.81
359,103.731147,30.939945,1000,95.75
360,103.741555,30.490785,1000,91.94
361,103.741555,30.904012,1000,97.66
362,103.751962,30.400953,1000,84.62
363,103.751962,30.535701,1000,95.8
364,103.751962,30.598583,1000,93.27
365,103.751962,30.625532,1000,93.14
366,103.751962,30.661465,1000,94.92
367,103.751962,30.679432,1000,96.14
368,103.751962,30.751297,1000,92.6
369,103.751962,30.778247,1000,93.67
370,103.751962,30.921979,1000,96.78
371,103.762371,30.365021,1000,73.44
372,103.762371,30.427903,1000,88.77
373,103.762371,30.751297,1000,91.73
374,103.762371,30.76028,1000,90.94
375,103.762371,30.859096,1000,99.31
376,103.762371,30.948929,1000,95.78
377,103.772779,30.347054,1000,73.76
378,103.772779,30.481802,1000,91.76
379,103.772779,30.499768,1000,93.37
380,103.772779,30.526717,1000,96.06
381,103.772779,30.607566,1000,93.95
382,103.772779,30.616549,1000,93.83
383,103.772779,30.841129,1000,99.27
384,103.772779,30.895029,1000,98.72
385,103.783187,30.409936,1000,86.1
386,103.783187,30.625532,1000,94.24
387,103.783187,30.661465,1000,93.94
388,104.366037,30.427903,1000,88.99
389,104.366037,30.436886,1000,90.01
390,104.366037,30.481802,1000,91.97
391,104.366037,30.499768,1000,92.07
392,104.366037,30.715364,1000,91.49
393,104.366037,30.895029,1000,93.1
394,104.366037,30.904012,1000,92.96
395,104.376444,30.374004,1000,86.3
396,104.376444,30.454852,1000,90.62
397,104.376444,30.607566,1000,91.41
398,104.376444,30.697398,1000,92.86
399,104.376444,30.859096,1000,93.59
400,104.376444,30.921979,1000,94.5
401,104.386853,30.409936,1000,87.63
402,104.386853,30.535701,1000,91.26
403,104.386853,30.553667,1000,91.62
404,104.386853,30.616549,1000,91.06
405,104.386853,30.670448,1000,92.8
406,104.386853,30.688415,1000,93.15
407,104.386853,30.859096,1000,93.65
408,104.386853,30.904012,1000,95.12
409,104.386853,30.930962,1000,95.08
410,104.397261,30.508751,1000,90.34
411,104.397261,30.517734,1000,90.48
412,104.397261,30.598583,1000,90.7
413,104.397261,30.661465,1000,92.06
414,104.397261,30.715364,1000,93.05
415,104.407669,30.625532,1000,90.16
416,104.407669,30.679432,1000,92.16
417,104.407669,30.715364,1000,93.1
418,104.407669,30.769264,1000,92.32
419,104.407669,30.778247,1000,93.19
420,104.407669,30.78723,1000,93.77
421,104.407669,30.841129,1000,92.97
422,104.407669,30.868079,1000,94.14
423,104.418077,30.39197,1000,89.33
424,104.418077,30.409936,1000,89.53
425,104.418077,30.652482,1000,90.26
426,104.418077,30.733331,1000,92.85
427,104.418077,30.81418,1000,93.55
428,104.428485,30.356037,1000,89.93
429,104.428485,30.481802,1000,89.31
430,104.428485,30.490785,1000,89.28
431,104.428485,30.526717,1000,89.91
432,104.428485,30.553667,1000,90.26
433,104.428485,30.634515,1000,88.85
434,104.428485,30.724348,1000,93.22
435,104.438893,30.499768,1000,89.01
436,104.438893,30.5896,1000,89.13
437,104.438893,30.706381,1000,92.66
438,104.438893,30.868079,1000,93.2
439,103.876859,30.625532,1000,90.68
440,103.876859,30.724348,1000,87.42
441,103.876859,30.76028,1000,89.3
442,103.876859,30.796213,1000,91.41
443,103.876859,30.895029,1000,96.76
444,103.876859,30.957912,1000,93.47
445,103.887267,30.481802,1000,92
446,103.887267,30.535701,1000,88.72
447,103.887267,30.625532,1000,89.53
448,103.887267,30.634515,1000,89.02
449,103.887267,30.688415,1000,85.91
450,103.887267,30.832146,1000,94.97
451,103.887267,30.957912,1000,93.06
452,103.897674,30.454852,1000,89.01
453,103.897674,30.508751,1000,90.01
454,103.897674,30.571633,1000,86.36
455,103.897674,30.679432,1000,85.62
456,103.897674,30.78723,1000,90.05
457,103.897674,30.832146,1000,94.72
458,103.897674,30.895029,1000,96.43
459,103.897674,30.904012,1000,95.81
460,103.908083,30.338071,1000,83.49
461,103.908083,30.39197,1000,83.78
462,103.908083,30.409936,1000,84.82
463,103.908083,30.427903,1000,86.33
464,103.908083,30.481802,1000,90.47
465,103.908083,30.56265,1000,85.42
466,103.908083,30.634515,1000,87.2
467,103.908083,30.76028,1000,88.21
468,103.908083,30.81418,1000,92.37
469,103.908083,30.868079,1000,96.98
470,103.908083,30.921979,1000,93.57
471,103.91849,30.382987,1000,83.3
472,103.91849,30.39197,1000,83.69
473,103.91849,30.490785,1000,89.67
474,103.91849,30.526717,1000,87.08
475,103.91849,30.571633,1000,85.68
476,103.91849,30.607566,1000,86.88
477,103.91849,30.733331,1000,87.11
478,103.91849,30.796213,1000,89.54
479,103.91849,30.805196,1000,90.94
480,103.91849,30.841129,1000,95.47
481,103.928899,30.356037,1000,83.34
482,103.928899,30.365021,1000,82.84
483,103.928899,30.445869,1000,86.39
484,103.928899,30.616549,1000,85.78
485,103.928899,30.751297,1000,87.52
486,103.928899,30.877062,1000,96.46
487,103.928899,30.948929,1000,89.7
488,103.928899,30.957912,1000,90.03
489,103.939307,30.39197,1000,83.62
490,103.939307,30.535701,1000,86.41
491,103.939307,30.634515,1000,85.13
492,103.939307,30.957912,1000,89.5
493,103.949715,30.347054,1000,83.46
494,103.949715,30.472818,1000,86.5
495,103.949715,30.490785,1000,86.43
496,103.949715,30.625532,1000,84.71
497,103.949715,30.868079,1000,97.23
498,103.960123,30.409936,1000,84.25
499,103.793595,30.365021,1000,75.04
500,103.793595,30.382987,1000,79.7
501,103.793595,30.41892,1000,87.28
502,103.793595,30.490785,1000,92.77
503,103.793595,30.544684,1000,96.48
504,103.793595,30.571633,1000,96.8
505,103.793595,30.598583,1000,95.44
506,103.793595,30.607566,1000,95.01
507,103.793595,30.643499,1000,93.77
508,103.793595,30.706381,1000,94.1
509,103.793595,30.823163,1000,98.1
510,103.793595,30.912995,1000,97.8
511,103.793595,30.930962,1000,96.86
512,103.804003,30.436886,1000,89.04
513,103.804003,30.463835,1000,90.45
514,103.804003,30.56265,1000,96.66
515,103.804003,30.769264,1000,91.68
516,103.804003,30.904012,1000,98.1
517,103.814411,30.356037,1000,77.7
518,103.814411,30.382987,1000,81.28
519,103.814411,30.400953,1000,84.18
520,103.814411,30.41892,1000,86.98
521,103.814411,30.436886,1000,88.92
522,103.814411,30.5896,1000,96.06
523,103.814411,30.706381,1000,91.8
524,103.814411,30.823163,1000,97.46
525,103.814411,30.886046,1000,98.31
526,103.824818,30.356037,1000,79.42
527,103.824818,30.400953,1000,84.31
528,103.824818,30.472818,1000,91.43
529,103.824818,30.643499,1000,93.11
530,103.824818,30.76028,1000,90.6
531,103.824818,30.832146,1000,97.65
532,103.824818,30.886046,1000,98.03
533,103.824818,30.895029,1000,97.85
534,103.824818,30.904012,1000,97.7
535,104.147468,30.356037,1000,94.73
536,104.147468,30.571633,1000,85.63
537,104.147468,30.607566,1000,84.07
538,104.147468,30.661465,1000,82.31
539,104.147468,30.697398,1000,87.5
540,104.147468,30.841129,1000,95.38
541,104.157875,30.463835,1000,89.52
542,104.157875,30.481802,1000,87.73
543,104.157875,30.580616,1000,86.21
544,104.157875,30.5896,1000,85.98
545,104.157875,30.643499,1000,82.7
546,104.157875,30.742314,1000,90
547,104.157875,30.769264,1000,89.52
548,104.157875,30.805196,1000,90.41
549,104.157875,30.850113,1000,96.27
550,104.157875,30.868079,1000,96.61
551,104.168284,30.374004,1000,94.79
552,104.168284,30.39197,1000,94.26
553,104.168284,30.427903,1000,92.06
554,104.168284,30.472818,1000,88.87
555,104.168284,30.634515,1000,83.61
556,104.168284,30.688415,1000,86.87
557,104.168284,30.823163,1000,90.63
558,104.168284,30.895029,1000,95.37
559,104.168284,30.957912,1000,95.44
560,104.178692,30.535701,1000,83.27
561,104.4493,30.436886,1000,90.02
562,104.4493,30.517734,1000,89.09
563,104.4493,30.553667,1000,89.5
564,104.4493,30.56265,1000,89.35
565,104.4493,30.661465,1000,88.03
566,104.4493,30.688415,1000,90.14
567,104.4493,30.706381,1000,92.14
568,104.4493,30.769264,1000,92.66
569,104.4493,30.904012,1000,96.41
570,104.4493,30.921979,1000,97.74
571,104.4493,30.930962,1000,97.84
572,104.4493,30.948929,1000,97.2
573,104.251548,30.400953,1000,89
574,104.251548,30.463835,1000,88.78
575,104.251548,30.490785,1000,88.43
576,104.251548,30.56265,1000,84.37
577,104.251548,30.634515,1000,91.71
578,104.251548,30.742314,1000,87.74
579,104.251548,30.751297,1000,88.51
580,104.251548,30.877062,1000,88.29
581,104.251548,30.939945,1000,91.9
582,104.251548,30.948929,1000,92.01
583,104.261956,30.625532,1000,91.72
584,104.261956,30.670448,1000,93.13
585,104.261956,30.78723,1000,89.63
586,104.261956,30.805196,1000,89.25
587,104.261956,30.912995,1000,89.81
588,104.272364,30.338071,1000,91.93
589,104.272364,30.41892,1000,87.22
590,104.272364,30.571633,1000,86.64
591,104.272364,30.652482,1000,94.98
592,104.272364,30.679432,1000,92.46
593,104.272364,30.76028,1000,89.09
594,104.272364,30.78723,1000,90.12
595,104.272364,30.796213,1000,90.12
596,104.272364,30.886046,1000,87.16
597,104.282772,30.347054,1000,90.47
598,104.282772,30.39197,1000,87.3
599,104.282772,30.508751,1000,89.99
600,104.282772,30.553667,1000,88.16
601,104.282772,30.634515,1000,93.99
602,104.282772,30.796213,1000,90.73
603,104.282772,30.904012,1000,88.18
604,104.29318,30.472818,1000,90.44
605,104.29318,30.535701,1000,90.16
606,104.29318,30.553667,1000,89.19
607,104.29318,30.56265,1000,88.54
608,104.29318,30.652482,1000,95.29
609,104.29318,30.670448,1000,95.16
610,104.29318,30.697398,1000,89.75
611,104.29318,30.706381,1000,87.65
612,104.29318,30.921979,1000,89.64
613,104.29318,30.948929,1000,90.33
614,104.303587,30.347054,1000,89.12
615,104.303587,30.41892,1000,86.07
616,104.303587,30.427903,1000,86.11
617,104.303587,30.508751,1000,91.12
618,104.303587,30.526717,1000,90.97
619,104.303587,30.598583,1000,91.24
620,104.303587,30.724348,1000,87.11
621,104.303587,30.778247,1000,91.6
622,104.303587,30.805196,1000,92.35
623,104.303587,30.904012,1000,88.8
624,104.303587,30.912995,1000,89.33
625,104.313996,30.535701,1000,91.69
626,104.313996,30.742314,1000,87.1
627,103.960123,30.526717,1000,85.96
628,103.960123,30.607566,1000,84.15
629,103.960123,30.616549,1000,84.21
630,103.960123,30.643499,1000,84.38
631,103.960123,30.706381,1000,85.47
632,103.960123,30.769264,1000,90.02
633,103.960123,30.78723,1000,92.01
634,103.960123,30.832146,1000,95.56
635,103.960123,30.957912,1000,88.54
636,103.970531,30.347054,1000,83.5
637,103.970531,30.553667,1000,85.36
638,103.970531,30.56265,1000,84.77
639,103.970531,30.688415,1000,83.83
640,103.970531,30.724348,1000,86.04
641,103.970531,30.78723,1000,92.66
642,103.970531,30.832146,1000,95.9
643,103.970531,30.904012,1000,93.7
644,103.980939,30.571633,1000,84.01
645,103.980939,30.661465,1000,83.4
646,103.980939,30.670448,1000,82.71
647,103.980939,30.895029,1000,95.47
648,103.991346,30.427903,1000,82.69
649,103.991346,30.517734,1000,84.44
650,103.991346,30.526717,1000,84.86
651,103.991346,30.661465,1000,83.43
652,103.991346,30.912995,1000,91.47
653,104.001755,30.338071,1000,84.11
654,104.001755,30.535701,1000,84.46
655,104.001755,30.571633,1000,83.46
656,104.001755,30.616549,1000,83.04
657,104.001755,30.733331,1000,86.27
658,104.001755,30.886046,1000,95.84
659,104.012162,30.356037,1000,83.6
660,104.012162,30.535701,1000,83.69
661,104.012162,30.553667,1000,83.97
662,104.012162,30.715364,1000,84.7
663,104.012162,30.796213,1000,92.97
664,104.012162,30.81418,1000,94.94
665,104.022571,30.400953,1000,83.1
666,104.022571,30.499768,1000,80.88
667,104.022571,30.508751,1000,81.61
668,104.022571,30.661465,1000,83.59
669,104.022571,30.778247,1000,91.42
670,104.022571,30.895029,1000,94.26
671,104.032979,30.436886,1000,81.29
672,104.032979,30.508751,1000,80.87
673,104.032979,30.56265,1000,83.39
674,104.032979,30.5896,1000,83.07
675,104.032979,30.598583,1000,83.23
676,104.032979,30.634515,1000,83.15
677,104.032979,30.715364,1000,84.27
678,104.032979,30.76028,1000,88.64
679,104.032979,30.805196,1000,93.41
680,104.032979,30.850113,1000,97.2
681,104.032979,30.895029,1000,94.22
682,104.043387,30.39197,1000,83.31
683,104.043387,30.400953,1000,83.42
684,104.043387,30.427903,1000,82.65
685,104.043387,30.499768,1000,80.05
686,104.043387,30.526717,1000,81.82
687,104.043387,30.598583,1000,83.36
688,104.043387,30.733331,1000,86.13
689,104.043387,30.742314,1000,86.92
690,104.043387,30.921979,1000,91.86
691,104.043387,30.930962,1000,91.13
692,104.053796,30.382987,1000,83.96
693,104.053796,30.400953,1000,84.1
694,104.053796,30.463835,1000,80.97
695,104.053796,30.688415,1000,83.45
696,104.053796,30.742314,1000,87.16
697,104.053796,30.751297,1000,87.79
698,104.053796,30.76028,1000,88.45
699,104.053796,30.805196,1000,93.01
700,104.064203,30.338071,1000,86.77
701,104.064203,30.374004,1000,84.76
702,104.064203,30.409936,1000,84.89
703,104.064203,30.490785,1000,80.26
704,104.064203,30.643499,1000,82.66
705,104.064203,30.706381,1000,85.46
706,104.064203,30.930962,1000,93.02
707,104.074612,30.374004,1000,85.46
708,104.074612,30.382987,1000,85.24
709,104.074612,30.39197,1000,85.25
710,104.074612,30.400953,1000,85.54
711,104.074612,30.526717,1000,81.35
712,104.074612,30.56265,1000,84.2
713,104.074612,30.571633,1000,84.37
714,104.074612,30.598583,1000,83.6
715,104.074612,30.724348,1000,86.67
716,104.074612,30.78723,1000,91.14
717,104.074612,30.930962,1000,93.9
718,104.074612,30.948929,1000,93.52
719,104.08502,30.365021,1000,86.89
720,104.08502,30.526717,1000,81.73
721,104.08502,30.634515,1000,81.63
722,104.08502,30.751297,1000,88.07
723,104.08502,30.868079,1000,97.6
724,104.095428,30.481802,1000,83.09
725,104.095428,30.5896,1000,84.3
726,104.095428,30.724348,1000,87.56
727,104.095428,30.850113,1000,97.48
728,104.095428,30.895029,1000,97.36
729,104.105836,30.382987,1000,88.4
730,104.105836,30.490785,1000,83.43
731,104.105836,30.571633,1000,84.77
732,104.105836,30.643499,1000,80.07
733,104.105836,30.670448,1000,80.48
734,104.105836,30.733331,1000,88.04
